node_num,x,y,z
1,15.328125,-14.99479167,-10
2,15.328125,-4,-10
3,15.328125,4,-10
4,15.328125,14.99479167,-10
5,4,-14.99479167,-10
6,4,-4,-10
7,4,4,-10
8,4,14.99479167,-10
9,-4,-14.99479167,-10
10,-4,-4.00,-10
11,-4,4,-10
12,-4,14.99479167,-10
13,-15.328125,-14.99479167,-10
14,-15.328125,-4,-10
15,-15.328125,4,-10
16,-15.328125,14.99479167,-10
17,15.328125,-14.99479167,0
18,15.328125,-4,0
19,15.328125,4,0
20,15.328125,14.99479167,0
21,4,-14.99479167,0
22,4,-4,0
23,4,4,0
24,4,14.99479167,0
25,-4,-14.99479167,0
26,-4,-4,0
27,-4,4,0
28,-4,14.99479167,0
29,-15.328125,-14.99479167,0
30,-15.328125,-4,0
31,-15.328125,4,0
32,-15.328125,14.99479167,0
33,15.328125,-14.99479167,14.79166667
34,15.328125,-4,14.79166667
35,15.328125,4,14.79166667
36,15.328125,14.99479167,14.79166667
37,4,-14.99479167,14.79166667
38,4,-4,14.79166667
39,4,4,14.79166667
40,4,14.99479167,14.79166667
41,-4,-14.99479167,14.79166667
42,-4,-4,14.79166667
43,-4,4,14.79166667
44,-4,14.99479167,14.79166667
45,-15.328125,-14.99479167,14.79166667
46,-15.328125,-4,14.79166667
47,-15.328125,4,14.79166667
48,-15.328125,14.99479167,14.79166667
49,15.328125,-14.99479167,30.16666667
50,15.328125,-4,30.16666667
51,15.328125,4,30.16666667
52,15.328125,14.99479167,30.16666667
53,4,-14.99479167,30.16666667
54,4,-4,30.16666667
55,4,4,30.16666667
56,4,14.99479167,30.16666667
57,-4,-14.99479167,30.16666667
58,-4,-4,30.16666667
59,-4,4,30.16666667
60,-4,14.99479167,30.16666667
61,-15.328125,-14.99479167,30.16666667
62,-15.328125,-4,30.16666667
63,-15.328125,4,30.16666667
64,-15.328125,14.99479167,30.16666667
65,15.328125,-14.99479167,42.375
66,15.328125,-4,42.375
67,15.328125,4,42.375
68,15.328125,14.99479167,42.375
69,4,-14.99479167,42.375
70,4,-4,42.375
71,4,4,42.375
72,4,14.99479167,42.375
73,-4,-14.99479167,42.375
74,-4,-4,42.375
75,-4,4,42.375
76,-4,14.99479167,42.375
77,-15.328125,-14.99479167,42.375
78,-15.328125,-4,42.375
79,-15.328125,4,42.375
80,-15.328125,14.99479167,42.375
81,15.328125,-14.99479167,55.16666667
82,15.328125,-4,55.16666667
83,15.328125,4,55.16666667
84,15.328125,14.99479167,55.16666667
85,4,-14.99479167,55.16666667
86,4,-4,55.16666667
87,4,4,55.16666667
88,4,14.99479167,55.16666667
89,-4,-14.99479167,55.16666667
90,-4,-4,55.16666667
91,-4,4,55.16666667
92,-4,14.99479167,55.16666667
93,-15.328125,-14.99479167,55.16666667
94,-15.328125,-4,55.16666667
95,-15.328125,4,55.16666667
96,-15.328125,14.99479167,55.16666667
97,15.328125,-14.99479167,67.375
98,15.328125,-4,67.375
99,15.328125,4,67.375
100,15.328125,14.99479167,67.375
101,4,-14.99479167,67.375
102,4,-4,67.375
103,4,4,67.375
104,4,14.99479167,67.375
105,-4,-14.99479167,67.375
106,-4,-4,67.375
107,-4,4,67.375
108,-4,14.99479167,67.375
109,-15.328125,-14.99479167,67.375
110,-15.328125,-4,67.375
111,-15.328125,4,67.375
112,-15.328125,14.99479167,67.375
113,15.328125,-14.99479167,80.16666667
114,15.328125,-4,80.16666667
115,15.328125,4,80.16666667
116,15.328125,14.99479167,80.16666667
117,4,-14.99479167,80.16666667
118,4,-4,80.16666667
119,4,4,80.16666667
120,4,14.99479167,80.16666667
121,-4,-14.99479167,80.16666667
122,-4,-4,80.16666667
123,-4,4,80.16666667
124,-4,14.99479167,80.16666667
125,-15.328125,-14.99479167,80.16666667
